电影名,电影年份,电影封面,导演,得分,评价人数,精彩评论
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,(2003),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896589545.jpg,戈尔·维宾斯基,8.8,872771人评价,约翰尼·德普的独角戏。
哈利·波特与密室 Harry Potter and the Chamber of Secrets,(2002),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg,克里斯·哥伦布,8.9,775234人评价,魔法的密室之门已打开...
一一,(2000),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,杨德昌,9.1,404321人评价,我们都曾经是一一。
狩猎 Jagten,(2012),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,托马斯·温特伯格,9.1,400023人评价,人言可畏。
唐伯虎点秋香 唐伯虎點秋香,(1993),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,李力持,8.7,1097923人评价,华太师是黄霑，吴镇宇四大才子之一。
7号房的礼物 7번방의 선물,(2013),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,李焕庆,8.9,565991人评价,《我是山姆》的《美丽人生》。
被嫌弃的松子的一生 嫌われ松子の一生,(2006),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,中岛哲也,8.9,712305人评价,以戏谑来戏谑戏谑。
请以你的名字呼唤我 Call Me by Your Name,(2017),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,卢卡·瓜达尼诺,8.8,734491人评价,沉醉在电影的情感和视听氛围中无法自拔。
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,(2012),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,克里斯托弗·诺兰,8.8,734795人评价,诺兰就是保证。
爱在黎明破晓前 Before Sunrise,(1995),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,理查德·林克莱特,8.8,697096人评价,缘分是个连绵词，最美不过一瞬。
断背山 Brokeback Mountain,(2005),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg,李安,8.8,715710人评价,每个人心中都有一座断背山。
剪刀手爱德华 Edward Scissorhands,(1990),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589720.jpg,蒂姆·波顿,8.7,1046595人评价,浪漫忧郁的成人童话。
入殓师 おくりびと,(2008),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg,泷田洋二郎,8.9,677698人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
