from_url,to_url
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/categories?name=classic
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://book.douban.com
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/categories?name=homelife
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/people/coupons
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://www.douban.com/group
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://www.douban.com
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://www.douban.com/doubanapp/redirect?channel=top-nav&direct_dl=1&download=iOS
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://bizpage.douban.com/business/
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/people
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://movie.douban.com
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/categories?name=travel
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/people/address
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/categories?name=all
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://accounts.douban.com/passport/login?source=main
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://market.douban.com/
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://www.douban.com/doubanapp/redirect?channel=top-nav&direct_dl=1&download=Android
https://market.douban.com/?utm_campaign=douban_top_nav&utm_source=douban&utm_medium=pc_web,https://www.douban.com/doumail/write?to=119347429
https://movie.douban.com/subject/2131459/,https://movie.douban.com/review/1745116/
https://movie.douban.com/subject/2131459/,https://movie.douban.com/photos/photo/481175587/
https://movie.douban.com/subject/2131459/,https://accounts.douban.com/passport/login?source=movie
https://movie.douban.com/subject/2131459/,https://www.douban.com/doubanapp/app?channel=qipao
https://movie.douban.com/subject/2131459/,https://movie.douban.com/awards/golden-globes/66/
https://movie.douban.com/subject/2131459/,https://www.douban.com/doulist/13369/
https://movie.douban.com/subject/2131459/,https://www.douban.com/doubanapp/app?channel=top-nav
https://movie.douban.com/subject/2131459/,https://www.douban.com/location
https://movie.douban.com/subject/2131459/,https://www.douban.com/people/Ragdoll/
https://movie.douban.com/subject/2131459/,https://time.douban.com/?dt_time_source=douban-web_top_nav
https://movie.douban.com/subject/2131459/,https://movie.douban.com/subject/2131459/discussion/
https://movie.douban.com/subject/2131459/,https://movie.douban.com/subject/2131459/questions/?from=subject
https://movie.douban.com/subject/2131459/,https://movie.douban.com/subject/2131459/questions/19666/?from=subject
https://movie.douban.com/subject/2131459/,https://movie.douban.com/subject/2131459/doulists
https://movie.douban.com/subject/2131459/,https://movie.douban.com/subject/1418019/?from=subject-page
https://movie.douban.com/subject/2131459/,https://book.douban.com
https://movie.douban.com/subject/2131459/,https://www.douban.com/people/xiaozhuanling/
https://movie.douban.com/subject/2131459/,https://movie.douban.com/chart
https://movie.douban.com/subject/2131459/,https://movie.douban.com/celebrity/1016698/
https://movie.douban.com/subject/2131459/,https://www.douban.com/people/liuyinzi/
https://movie.douban.com/subject/2131459/,https://www.douban.com/people/276382425/
https://movie.douban.com/subject/2131459/,https://movie.douban.com
https://movie.douban.com/subject/2131459/,https://www.douban.com/people/75148969/
https://movie.douban.com/subject/2131459/,https://movie.douban.com/celebrity/1065267/
https://movie.douban.com/subject/2131459/,https://movie.douban.com/celebrity/1009535/
